DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
90,-37.062,-12.7684,26.6877,-2.6647,0.0,-49.8304,24.023,-25.8074
91,-38.1519,-16.9497,30.936,-2.532,0.0,-55.1016,28.404,-26.6976
92,-38.302,-15.9357,29.2022,-2.5565,0.0,-54.2377,26.6457,-27.592
93,-41.0069,-12.665,27.0682,-2.6038,0.0,-53.6719,24.4644,-29.2075
94,-38.3166,-16.7518,30.4058,-2.6007,0.0,-55.0684,27.8051,-27.2633
95,-39.0525,-11.8704,27.3183,-2.5552,0.0,-50.9229,24.7631,-26.1598
96,-36.7223,-18.5918,31.033,-2.5106,0.0,-55.3141,28.5224,-26.7917
97,-35.9015,-19.0874,30.7694,-2.5861,0.0,-54.9889,28.1833,-26.8056
98,-37.4992,-16.9015,31.3163,-2.5928,0.0,-54.4007,28.7235,-25.6772
99,-39.3282,-12.5571,27.3318,-2.616,0.0,-51.8853,24.7158,-27.1695
100,-39.0152,-19.0933,31.3236,-2.5977,0.0,-58.1085,28.7259,-29.3826
101,-39.0897,-17.9637,33.1091,-2.5625,0.0,-57.0534,30.5466,-26.5068
102,-38.5368,-20.9709,30.466,-2.5099,0.0,-59.5077,27.9561,-31.5516
103,-36.9306,-15.8841,27.9314,-2.4173,0.0,-52.8147,25.5141,-27.3006
104,-40.5202,-16.1451,31.186,-2.5796,0.0,-56.6653,28.6064,-28.0589
105,-37.0906,-15.84,27.8739,-2.4749,0.0,-52.9306,25.399,-27.5316
106,-38.8098,-18.3957,31.0858,-2.5689,0.0,-57.2055,28.5169,-28.6886
107,-35.5905,-20.0957,29.9398,-2.4852,0.0,-55.6862,27.4546,-28.2316
108,-38.8829,-18.9355,29.6666,-2.5266,0.0,-57.8184,27.14,-30.6784
109,-37.8643,-20.9503,29.2428,-2.5601,0.0,-58.8146,26.6827,-32.1319
110,-40.6528,-13.9438,28.5466,-2.4933,0.0,-54.5966,26.0533,-28.5433
111,-37.832,-17.0831,30.2186,-2.4624,0.0,-54.9151,27.7562,-27.1589
112,-41.9583,-17.027,29.3197,-2.4331,0.0,-58.9853,26.8866,-32.0987
113,-39.978,-15.9197,30.0261,-2.5215,0.0,-55.8977,27.5046,-28.3931
114,-36.1507,-18.273,30.8302,-2.5068,0.0,-54.4237,28.3234,-26.1003
115,-37.4958,-18.7666,29.7265,-2.6145,0.0,-56.2624,27.112,-29.1504
116,-39.0082,-16.0813,30.5718,-2.5543,0.0,-55.0895,28.0175,-27.072
